trial_id,method,step,r_squared,entropy,violations,tq
29,epistemic,3,0.469675,0.530325,0,1.0000
29,epistemic,4,0.476675,0.523325,0,1.0000
29,epistemic,5,0.475721,0.524279,0,1.0000
29,epistemic,6,0.509217,0.490783,0,1.0000
29,epistemic,7,0.511362,0.488638,0,0.4865
30,epistemic,0,0.221128,0.778872,0,1.0000
30,epistemic,1,0.275742,0.724258,0,1.0000
30,epistemic,2,0.442440,0.557560,0,1.0000
30,epistemic,3,0.504689,0.495311,0,1.0000
30,epistemic,4,0.632619,0.367381,0,1.0000
30,epistemic,5,0.632360,0.367640,0,1.0000
30,epistemic,6,0.673656,0.326344,0,1.0000
30,epistemic,7,0.675318,0.324682,0,0.4865
31,epistemic,0,0.195674,0.804326,0,1.0000
31,epistemic,1,0.268777,0.731223,0,1.0000
31,epistemic,2,0.443207,0.556793,0,1.0000
31,epistemic,3,0.493412,0.506588,0,1.0000
31,epistemic,4,0.548762,0.451238,0,1.0000
31,epistemic,5,0.547999,0.452001,0,1.0000
31,epistemic,6,0.571608,0.428392,0,1.0000
31,epistemic,7,0.573513,0.426487,0,0.4865
32,epistemic,0,0.118974,0.881026,0,1.0000
32,epistemic,1,0.190129,0.809871,0,1.0000
32,epistemic,2,0.352431,0.647569,0,1.0000
32,epistemic,3,0.381900,0.618100,0,1.0000
32,epistemic,4,0.480630,0.519370,0,1.0000
32,epistemic,5,0.475301,0.524699,0,1.0000
32,epistemic,6,0.500687,0.499313,0,1.0000
32,epistemic,7,0.505223,0.494777,0,0.4865
33,epistemic,0,0.233122,0.766878,0,1.0000
33,epistemic,1,0.279564,0.720436,0,1.0000
33,epistemic,2,0.373137,0.626863,0,1.0000
33,epistemic,3,0.442151,0.557849,0,1.0000
33,epistemic,4,0.546972,0.453028,0,1.0000
33,epistemic,5,0.545157,0.454843,0,1.0000
33,epistemic,6,0.579729,0.420271,0,1.0000
33,epistemic,7,0.576880,0.423120,0,0.4865
34,epistemic,0,0.204022,0.795978,0,1.0000
34,epistemic,1,0.231728,0.768272,0,1.0000
34,epistemic,2,0.391186,0.608814,0,1.0000
34,epistemic,3,0.437452,0.562548,0,1.0000
34,epistemic,4,0.525516,0.474484,0,1.0000
34,epistemic,5,0.525336,0.474664,0,1.0000
34,epistemic,6,0.566598,0.433402,0,1.0000
34,epistemic,7,0.570527,0.429473,0,0.4865
35,epistemic,0,0.252620,0.747380,0,1.0000
35,epistemic,1,0.298963,0.701037,0,1.0000
35,epistemic,2,0.394319,0.605681,0,1.0000
35,epistemic,3,0.417053,0.582947,0,1.0000
35,epistemic,4,0.523235,0.476765,0,1.0000
35,epistemic,5,0.523377,0.476623,0,1.0000
35,epistemic,6,0.550860,0.449140,0,1.0000
35,epistemic,7,0.553804,0.446196,0,0.4865
36,epistemic,0,0.217556,0.782444,0,1.0000
36,epistemic,1,0.263855,0.736145,0,1.0000
36,epistemic,2,0.388149,0.611851,0,1.0000
36,epistemic,3,0.448288,0.551712,0,1.0000
36,epistemic,4,0.567114,0.432886,0,1.0000
36,epistemic,5,0.566997,0.433003,0,1.0000
36,epistemic,6,0.583531,0.416469,0,1.0000
36,epistemic,7,0.587107,0.412893,0,0.4865
37,epistemic,0,0.232760,0.767240,0,1.0000
37,epistemic,1,0.277486,0.722514,0,1.0000
37,epistemic,2,0.444699,0.555301,0,1.0000
37,epistemic,3,0.482251,0.517749,0,1.0000
37,epistemic,4,0.565230,0.434770,0,1.0000
37,epistemic,5,0.565475,0.434525,0,1.0000
37,epistemic,6,0.605280,0.394720,0,1.0000
37,epistemic,7,0.602210,0.397790,0,0.4865
38,epistemic,0,0.215962,0.784038,0,1.0000
38,epistemic,1,0.282169,0.717831,0,1.0000
38,epistemic,2,0.390481,0.609519,0,1.0000
38,epistemic,3,0.435399,0.564601,0,1.0000
38,epistemic,4,0.490476,0.509524,0,1.0000
38,epistemic,5,0.490023,0.509977,0,1.0000
38,epistemic,6,0.536979,0.463021,0,1.0000
38,epistemic,7,0.541256,0.458744,0,0.4865
39,epistemic,0,0.211413,0.788587,0,1.0000
39,epistemic,1,0.296557,0.703443,0,1.0000
39,epistemic,2,0.437750,0.562250,0,1.0000
39,epistemic,3,0.492368,0.507632,0,1.0000
39,epistemic,4,0.569432,0.430568,0,1.0000
39,epistemic,5,0.568642,0.431358,0,1.0000
39,epistemic,6,0.623457,0.376543,0,1.0000
39,epistemic,7,0.625618,0.374382,0,0.4865
40,epistemic,0,0.202847,0.797153,0,1.0000
40,epistemic,1,0.282533,0.717467,0,1.0000
40,epistemic,2,0.441814,0.558186,0,1.0000
40,epistemic,3,0.514471,0.485529,0,1.0000
40,epistemic,4,0.593147,0.406853,0,1.0000
40,epistemic,5,0.592996,0.407004,0,1.0000
40,epistemic,6,0.604633,0.395367,0,1.0000
40,epistemic,7,0.607025,0.392975,0,0.4865
41,epistemic,0,0.334062,0.665938,0,1.0000
41,epistemic,1,0.375139,0.624861,0,1.0000
41,epistemic,2,0.506253,0.493747,0,1.0000
41,epistemic,3,0.564754,0.435246,0,1.0000
41,epistemic,4,0.631444,0.368556,0,1.0000
41,epistemic,5,0.624360,0.375640,0,1.0000
41,epistemic,6,0.644373,0.355627,0,1.0000
41,epistemic,7,0.646518,0.353482,0,0.4865
42,epistemic,0,0.213765,0.786235,0,1.0000
42,epistemic,1,0.266694,0.733306,0,1.0000
42,epistemic,2,0.454644,0.545356,0,1.0000
42,epistemic,3,0.498005,0.501995,0,1.0000
42,epistemic,4,0.573238,0.426762,0,1.0000
42,epistemic,5,0.573460,0.426540,0,1.0000
42,epistemic,6,0.601604,0.398396,0,1.0000
42,epistemic,7,0.599078,0.400922,0,0.4865
43,epistemic,0,0.219277,0.780723,0,1.0000
43,epistemic,1,0.295626,0.704374,0,1.0000
43,epistemic,2,0.459592,0.540408,0,1.0000
43,epistemic,3,0.505370,0.494630,0,1.0000
43,epistemic,4,0.577121,0.422879,0,1.0000
43,epistemic,5,0.576353,0.423647,0,1.0000
43,epistemic,6,0.613430,0.386570,0,1.0000
43,epistemic,7,0.615159,0.384841,0,0.4865
44,epistemic,0,0.206931,0.793069,0,1.0000
44,epistemic,1,0.278047,0.721953,0,1.0000
44,epistemic,2,0.459992,0.540008,0,1.0000
44,epistemic,3,0.507768,0.492232,0,1.0000
44,epistemic,4,0.564433,0.435567,0,1.0000
44,epistemic,5,0.564535,0.435465,0,1.0000
44,epistemic,6,0.588814,0.411186,0,1.0000
44,epistemic,7,0.585577,0.414423,0,0.4865
45,epistemic,0,0.182418,0.817582,0,1.0000
45,epistemic,1,0.242583,0.757417,0,1.0000
45,epistemic,2,0.393129,0.606871,0,1.0000
45,epistemic,3,0.449623,0.550377,0,1.0000
45,epistemic,4,0.511495,0.488505,0,1.0000
45,epistemic,5,0.511371,0.488629,0,1.0000
45,epistemic,6,0.514291,0.485709,0,1.0000
45,epistemic,7,0.516663,0.483337,0,0.4865
46,epistemic,0,0.198055,0.801945,0,1.0000
46,epistemic,1,0.276355,0.723645,0,1.0000
46,epistemic,2,0.475630,0.524370,0,1.0000
46,epistemic,3,0.541307,0.458693,0,1.0000
46,epistemic,4,0.620325,0.379675,0,1.0000
46,epistemic,5,0.620149,0.379851,0,1.0000
46,epistemic,6,0.651257,0.348743,0,1.0000
46,epistemic,7,0.647998,0.352002,0,0.4865
47,epistemic,0,0.251756,0.748244,0,1.0000
47,epistemic,1,0.328299,0.671701,0,1.0000
47,epistemic,2,0.475738,0.524262,0,1.0000
47,epistemic,3,0.520024,0.479976,0,1.0000
47,epistemic,4,0.622406,0.377594,0,1.0000
47,epistemic,5,0.620573,0.379427,0,1.0000
47,epistemic,6,0.631612,0.368388,0,1.0000
47,epistemic,7,0.634345,0.365655,0,0.4865
48,epistemic,0,0.272511,0.727489,0,1.0000
48,epistemic,1,0.329618,0.670382,0,1.0000
48,epistemic,2,0.479573,0.520427,0,1.0000
48,epistemic,3,0.543342,0.456658,0,1.0000
48,epistemic,4,0.624376,0.375624,0,1.0000
48,epistemic,5,0.624381,0.375619,0,1.0000
48,epistemic,6,0.655731,0.344269,0,1.0000
48,epistemic,7,0.658224,0.341776,0,0.4865
49,epistemic,0,0.300472,0.699528,0,1.0000
49,epistemic,1,0.360146,0.639854,0,1.0000
49,epistemic,2,0.489372,0.510628,0,1.0000
49,epistemic,3,0.548708,0.451292,0,1.0000
49,epistemic,4,0.656010,0.343990,0,1.0000
49,epistemic,5,0.656056,0.343944,0,1.0000
49,epistemic,6,0.689922,0.310078,0,1.0000
49,epistemic,7,0.692605,0.307395,0,0.4865
